case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd
1513512,Interstate Concrete & Aspahlt Inc,Oldcastle Materials Inc,845 West Kathleen Ave,Coeur d Alene,ID,83815,237310
1764565,"Elderly Inn III, The","Elderly Inn, LLC",8361 Canyon Oak Drive,Citrus Heights,CA,95610,623312
1421119,"Sourcecorp Mt Vernon, KY","Sourcecorp, Inc.",1770 Highway 461,Mount Vernon,KY,40456,561410
1430848,IFCO Systems,IFCO Systems of North America Inc.,515 Foster Street,Nashville,TN,37207,32192
1513055,Consolidated Laborer and Securtity,"Consolidated Services, Inc.",6 Railroad Avenue,Chester,NY,10918,2362
1507273,"DiMare Ruskin, Inc.","DiMare Homestead, Inc.",P.O. Box 967,Ruskin,FL,33570,111339
1509950,Convenient Food Mart,"Taffera Enterprises, Inc.",600 Main St.,Avoca,PA,18641,445120
1513322,Save-A-Lot,Buehler Foods,324 State St,New Albany,IN,47150,445110
1513251,"Logistical Customer Service, Inc.","Logistical Customer Service, Inc.",Peterson Air Force Base Commissary,Colorado Springs,CO,80909,493110
1513277,Scott's Food Stores,"Kroger, Inc.",929 S 13th St,Decatur,IN,46733,445110
1513324,Save-A-Lot,Buehler Foods,1357 N State St,North Vernon,IN,47265,445110
1584293,Book Gallery,"Mann, Inc",2801 Memorial Pkwy SW #200,Huntsville,AL,35801,451211
1419584,MGA Research Corporation,MGA Research Corporation,12790 Main Rd. (Rt. 5),Akron,NY,14001,54133
1510019,"ABC Phones, Inc.","ABC Phones of North Carolina, Inc.",3280 South Charles Bvld.,Greenville,NC,27858,44311
1657017,Waltham Shell,"Saab 1 Enterprises, Inc.",962 Main Street,Waltham,MA,2451,4471
1510291,Gristick's Foodkart,Foodkart Inc,640 N. 7th St.,Lebanon,PA,17046,445110
1510767,Foster Poultry Farms,"Foster Poultry Farms, Inc.",1000 Davis St.,Livingston,CA,95334,311615
1514435,"N & K Apparel, Inc.","N & K Apparel, Inc.",1415 S. Herbert Avenue,Los Angeles,CA,90023,315232
1622186,Doneraki Mexican Restaurant,"Doneraki Gulfgate, Inc",300Gulfgate,Houston,TX,77085,722110
1515888,RC Willey,"RC Willey Home Furnishings, Inc.",2301 S 300 W,Salt Lake City,UT,84115,442110
1508329,"Veltri Trucking, Inc.","Veltri Trucking, Inc.",2301 Jefferson Avenue Suite 7,Washington,PA,15301,484220
1508441,Jamerson Farms,"Jamerson Farms Operations, LLC",12500 Greenmeadow Rd.,Lehigh Acres,FL,33970,111219
1511268,Mario's Pizza (Degetau),Mario's Pizza,Ave. Degetau F-8 Bonneville Terrace,Caguas,PR,725,722211
1743473,Clendenin Health Center,"Cabin Creek Health Systems, Inc.",107 koontz Avenue,Clendenin,WV,25045,621111
1429262,Kent Security,"Kent Security Services, Inc.",14600 Biscayne Blvd,Miami,FL,33181,561612
1511919,Greener Pastures Landscape,"Greener Pastures Landscape, Inc.",2525 Manana Dr,Dallas,TX,75220,561730
1462531,Hunan Restaurant,Hunan Restaurant,900 Houston St,Laredo,TX,78042,7221
1690882,Barnes Pine Straw,"Barnes Pine Straw, Inc",24271 State Road 247,O Brien,FL,32071,113210
1515455,Kernersville Tube Plant,Caraustar Industries Inc.,1045 Industrial Park Dr,Kernersville,NC,27284,326211
1512008,Foodland of Boaz,"Mitchell Grocery, Inc.",9464 AL Highway 168,Boaz,AL,35957,445110
1473970,"Pet Supplies Plus, Manhasset",Nobo Operating Corp.,1170 Northern Boulevard,Manhasset,NY,11030,453910
1520675,Griffey's Uniforms,"Griffey's Professional Uniforms, Inc.",4132 East McCain Blvd,North Little Rock,AR,72117,81233
1329144,Knight Transportation,"Knight Transportation, Inc.",3702 West Minnesota Street,Indianapolis,IN,46241,4841
1330440,Elite Title Insurance (Gulfport),"Elite Title Insurance Agency, Inc.",2121 Pass Road,Gulfport,MS,39501,524127
1362219,Elite Title Insurance (Hattiesburg),Elite Title Insurance Agency Inc.,6641 U.S. Highway 98 West,Hattiesburg,MS,39402,524127
1515789,Valley Services,"Valley Services, Inc.",216 Claiborne Street,Camden,AL,36726,722310
1512885,Reebok Outlet Store,Reebok International LTD,5461 Factory Shop Blvd.,Ellenton,FL,34222,4539
1521696,"Triple S Smith Farms, Inc.","Triple S Smith Farms, Inc.",1625 East 600 North,Windfall,IN,46076,111219
1378699,Ajilon Communications,"Ajilon Communications, LLC & Ajilon Communica","2030 E. 4th St., Suite 210",Santa Ana,CA,92701,541618
1516119,The Buckle,"The Buckle, Inc.",6000 West Markham Street,Little Rock,AR,72205,452111
1551338,Getty/Wallington #1,"Paul Mart, Inc.",173 Paterson Avenue,Wallington,NJ,7057,4471
1599710,Saunders Construction,"Saunders Construction, Inc.",1760 Monrovia Avenue #A-1,Costa Mesa,CA,92627,541330
1482276,LVI Environmental Services,LVI Environmental Services,Attn: Durr Heavy Construction LLC,New Orleans,LA,70123,238990
1483503,MTP Operating Corp- Chrystie,MTP Operating Corp.,89 Chrystie Street,New York,NY,10002,812930
1483508,MTP Operating Corp.- 540 49 St.,MTP Operating Corp.,540 W. 49th Street,New York,NY,10019,812930
1398668,Aramark Uniform Services,Aramark Uniform Services,12 Blair Avenue,Reading,PA,19612,812332
1516110,American Eagle Outfitters,AE Outfitters Retail Co.,6000 West Markham Street,Little Rock,AR,72205,452111
1511202,Pic N Save,"ABBC, Inc.",440 Douglas Ave,Brewton,AL,36426,445110
1517784,Joy and Love Daycare Center,Trinity Missionary Baptist Church,233 Halifax Street,Petersburg,VA,23803,624410
1517972,American Environmental,American Environmental,35 Davis Avenue,Saraland,AL,36571,562119
1520418,Communications to Go-Flagler,"Communications to Go, Inc.",3825 W FLAGER STREET,Miami,FL,33134,51721
1520421,Communication To Go-Biscayne,"Communications to Go, Inc.",15528 BISCAYNE BLVD,North Miami Beach,FL,33160,51711
1520422,Communications To Go-Pembroke,"Communications to Go, Inc.",12395 PEMBROKE PINES,Pembroke Pines,FL,33025,51711
1520425,Comminications To Go--Orlando--,"Communications to Go, Inc.",5389 S KIRKMAN ROAD,Orlando,FL,32819,51711
1517329,Breakfast Place,"The Breakfast Place, Inc.",789 North Beal Pkwy,Fort Walton Beach,FL,32547,722110
1517359,HearthStone at The Mainland,"Hearthstone Management, Inc.",1901 N. Amburn Road,Texas City,TX,77591,62331
1523690,Health Care Services,"Healthcare Services, Inc",3900 Llewellyn Avenue,Norfolk,VA,23504,561720
1516565,Harry's Supermarket,"Harry's Supermarket, Inc.",37 Elm Street,Pittsfield,MA,1201,445110
1509809,HCI Integrated Solutions,Hurricane Consulting Industries,Building 1982,Fort Carson,CO,80913,561990
1516918,"B & D Services, Inc.","B & D Services, Inc.",5512 Sp. Winland Drive,Gillette,WY,82718,213113
1524104,Lil Kings and Queens Development Kingdom,"K & Q, Inc.",1240 South 28th Street,Louisville,KY,40215,624410
1517018,RC Willey,RC Willey Home Furnishings,3850 S. Town Center Drive,Las Vegas,NV,89135,44229
1494178,"Coca-Cola Enterprises, Inc.","Coca-Cola Enterprises, Inc.",9770 Patuxent Woods Drive,Columbia,MD,21046,312111
1514337,Northwoods Forestry,"Northwoods Forestry, Inc.",W1224 Country Road FW,Eleva,WI,54738,115310
1525024,Stonehenge Park Apartment,"Heavon Company, LLC",4280 Mount Hood St.,Memphis,TN,38118,531311
1525402,Micro Solutions,"Micro Solutions, Inc.",1730 Haines Avenue,Rapid City,SD,57701,443120
1525756,Holcomb Behavioral Health Systems,"Holcomb Behaviorial Health Systems, Inc.",1400 Black Horse Hill Road,Coatesville,PA,19320,623990
1493627,Price's Collision Center,"Price's Collision Centers, LLC",1242 S. Church Street,Murfreesboro,TN,37130,81112
1493643,Crystal Falls Car Wash,Mace Security International LLC,7027 South Quaker Ave.,Lubbock,TX,79415,811192
1408272,Scranton Housing Authority,Scranton Housing Authority,400 Adams Avenue,Scranton,PA,18510,9390
1500088,Blagg Tire & Service,"Car Concepts, Inc.",604 Main St,Grapevine,TX,76051,8111
1500634,Mio Sushi,"Joonsung, Inc.",2735 N Killingsworth St,Portland,OR,97217,722110
1500638,Mio Sushi,"Joonsung, Inc.",12600 SW Crescent Way,Beaverton,OR,97005,722110
1500642,Mio Sushi,"Joonsung, Inc.",2271 NW Johnson St,Portland,OR,97210,722110
1500651,New Dynasty Buffet,"New Dynasty Buffet, LLC",1020 Trowbridge Road,East Lansing,MI,48823,722110
1525890,InGenesis,InGenesis Inc.,Wm Beaumont,Fort Bliss,TX,79916,561330
1657061,7 Springs Farm,7 Springs Farm,588 Seven Springs Road,Wellington,AL,36279,111334
1494077,Zappala Farms LLC,Zappala Farms LLC,11401 Schuler Rd,Cato,NY,13033,111219
1507294,Eller & Sons Trees Inc.,"Eller & Sons Trees, Inc.",500 Loblolly Lane,Franklin,GA,30217,113210
1500924,Moore's Cafeteria,"MCS Management, Inc.",Building 5210,Fort Campbell,KY,42223,722310
1501568,Family Dollar,"Family Dollar Stores of Texas, LLC",1478 George Dieter,El Paso,TX,79936,452990
1496538,Yeager Gin Company,Yeager Gin Company LLC,919 County Rd. 213,Moulton,AL,35650,115111
1495303,Logistical Customer Service,"Logistical Customer Service, Inc.",700 Arnold,Whiteman AFB,MO,65305,561720
1751066,"DMC Consultants, Inc.","DMC Construction, Inc.",13500 Foley,Detroit,MI,48227,236220
1506199,Workers Temporary Staffing,"Workers Temporary Staffing, Inc",67 Southwest Boulevard,Kansas City,KS,66103,561320
1522926,The Diamond Group,The Diamond Group,700 E. San Antonio,El Paso,TX,79901,561612
1513838,Mission Critical Solutions,MCS of Tampa Inc,BTS,Fairchild AFB,WA,99011,517910
1754096,Midas Auto Service Experts,Singleton International LLC,7462 Lem Turner Rd,Jacksonville,FL,32208,8111
1500761,Ryan's Restaurant,"Fire Mountain Restaurants, LLC",1460 Buffet Way,Saint Paul,MN,55121,722110
1503047,Prime Market,Prime Business Group LLC,403 Chemung Street,Waverly,NY,14892,445120
1506898,"Premium Standard Farms, LLC","Smithfield Foods, Inc.",22123 Highway 5,Milan,MO,63556,311611
1506913,Golden Dragon,Golden Dragon Inc.,2001 N. 10th St.,McAllen,TX,78501,722110
1507217,"Marco Castaneda, FLC","Marco Castaneda,",131 W. Cracker Swamp Road,East Palatka,FL,32131,115115
1511875,"Air Property Maintenance Company, Inc.","Air Property Maintenance Company, Inc.",3910 Constellation Road # 104,Lompoc,CA,93438,811490
1406581,Taco Time,JCS Inc.,388 West 2230 North,Provo,UT,84601,722211
1511993,XL Industrial Services Inc.,"XL Industrial Services, Inc",4556 N. 400 W.,La Porte,IN,46350,81131
1702710,Sandford Oil - Oklahoma,"Western Transportation, Inc.",253 N Hwy. 69,Atoka,OK,74525,424720
1513178,Hannam Chain Corp,Super 1 Hannam Inc.,5301 Beach Blvd,Buena Park,CA,90621,445110
1512631,Champs Fine Foods & Spirits,Riggins Enterprises Inc,1500 US Hwy 401 S,Laurinburg,NC,28352,722110
1512941,"Tanimura & Antle, Inc.","Tanimura & Antle, Inc.",1 Harris Road,Salinas,CA,93908,111219
1754781,Falcon Air Express,"Falcon Air Express, Inc.","2601 NW 105 Ave,",Doral,FL,33172,485510
1614544,La Carreta Mexican Restaurant,"La Carreta, Inc.",1580 Old Trolley Road #A,Summerville,SC,29485,72211
1508361,"Spectrum Painting, Inc.","Spectrum Painting, Inc.",7220 East 151st Street,Bixby,OK,74008,238320
1502891,"Campaigners, Inc","Advantage Sales and Marketing, Inc",909 N. Sepulveda # 200,El Segundo,CA,90245,54181
1513263,Mike Garcia Merchant Security,"Mike Garcia Merchant Security, LLC",6000 Welch,El Paso,TX,79905,561612
1503228,Villa Pizza,"Villa Enterprises, Inc.",2035 Independence Center Drive,Independence,MO,64057,722211
1509000,Albertsons,SuperValu,26521 Agoura Road,Calabasas,CA,91302,445110
1524717,All American Roofing Co.,All American Roofing Co.,4019 Sebastopol Road,Santa Rosa,CA,95407,23816
1524765,Domino's,"Pizza Kountz, Inc.",111 Justice Center Drive,Rogersville,TN,37857,722211
1524835,Greer's Food Tiger,"Autry Greer & Sons, Inc.",2850 W. Main Street,Mobile,AL,36612,445110
1518440,For Kids Only,"D Squared, Inc.",9310 Preston Highway,Louisville,KY,40229,624410
1518442,For Kids Only,"D Squared, Inc.",140 Overdale Dr.,Louisville,KY,40229,624410
1519957,Party City #249,"Party City of Arizona, Inc.",4533 E. Cactus Rd.,Phoenix,AZ,85032,452112
1519958,Party City #216,"Party City of Arizona, Inc.",410 E. Bell Rd.,Phoenix,AZ,85022,45299
1510932,Dameron Property Management,Dameron Property Management Inc,9770 North Newport Highway,Spokane,WA,99218,561720
1449617,"Central Fairfax Services, Inc.","Central Fairfax Services, Inc.",6860 Commercial Drive,Springfield,VA,22151,62431
1517483,Tinian hardware,Commercial Trading of Saipan Inc.,PO Box 500724,Tinian,MP,96952,44413
1520596,B & D Industries Inc.,B & D Electric,9720 Bell SE Abq,Albuquerque,NM,87123,238210
1515399,Varsity Contractors,"Varsity Contractors, Inc.","121 Division St, Suite C.",Clermont,FL,34711,561720
1553950,A to Z Food Mart,"A to Z Food Mart, LLC",2301 Broad Street,Selma,AL,36701,447110
1509947,McDonald's Suffern,McMontebello LLC,1 Indian Rock Road,Suffern,NY,10901,722211
1509948,McDonald's Tarrytown,McMontebello LLC,140 Wildey St.,Tarrytown,NY,10591,722211
1509990,MC Communications,"MC Communications, Inc.","3111 S. Valley View, Ste. A-114",Las Vegas,NV,89022,42361
1524363,"R & R Industries, Inc.",R & R Industries Inc,2181 E. 25th Street,Los Angeles,CA,90058,31521
1700929,"B.E.S.T. Packing Services, Inc. (Fox Bindery)","B.E.S.T. Packing Services, Inc.",2320 S. 22nd Street,Philadelphia,PA,19145,561320
1542260,SpringHill Suites by Marriott-Hershey,Horst Realty LLC,115 Museum Drive,Hershey,PA,17033,721110
1546142,Huddle House,"Ratliff, Inc.",305 East Karsh Blvd,Farmington,MO,63640,722110
1548538,Rockey's Moving & Storage,"Rockey's Moving & Storage, LLC",2305 South Fort Hood St.,Killeen,TX,76542,4841
1612295,Aires Mountain RO- Aurora CO,AIReS Relocation Solutions Inc.,"2260 South Xanadu Way, Suite 300",Aurora,CO,80014,561990
1639981,Sheridan Mechanical Corporation,Sheridan Mechanical Corp.,189 Sheridan Avenue,Paterson,NJ,7502,23822
1660562,Whisnand Hybrids,Whisnand Hybrids,1220 E. State Rte. 133,Arcola,IL,61910,111150
1523047,Sydney Home,"First Metropolitan Facilities, Inc.",3001 Sydney Ave.,District Heights,MD,20747,9690
1656261,AMS Utiliserv Inc,Olameter Inc,2255 East Grand,Hot Springs National Park,AR,71901,51821
1572544,Sleep Inn,"CUSA, LLC.",5225 Market St,Wilmington,NC,28405,721110
1375650,"General Mills, Inc.","General Mills, Inc.","4800 Edgewood Rd., SW",Cedar Rapids,IA,52404,31123
1704020,Hen House Supermarket,Four B Corporation,6900 West 135th Street,Overland Park,KS,66223,445110
1613646,"WA, State of - DSHS","WA, State of - DSHS",Smokey Point Community Service Office,Arlington,WA,98223,9390
1494741,Southeast Works,"S.E. Community Work Center, Inc.",104 Sebring Drive,Depew,NY,14043,6232
1738298,"Care Communications, Inc.","Care Communications, Inc.","205 W. Wacker Drive, Ste. 1900",Chicago,IL,60606,621999
1621355,Diversified Interiors of Amarillo,Diversified Interiors of Amarillo Ltd,3401 S. Fillmore Street,Amarillo,TX,79110,238310
1488527,Mountain Mike's Pizza,"Moscini Pizza, Inc.",301 E. Hamilton Avenue,Campbell,CA,95008,722211
1553852,Dairy Queen (Expressway),"Denton, Inc.",913 Burlington Dr.,Bismarck,ND,58504,722211
1481863,Mi Pueblito,"Los Matadores, Inc.",1607 W. King Street,Decatur,IL,62522,722110
1534580,Playa Azul,"Playa Azul, Inc.",710 West 7th Street,Augusta,KS,67010,722110
1630585,Mr. Chopsticks,"Mr. Chopsticks, Inc.",1633 Scripture,Denton,TX,76201,722110
1655427,Beal Inc.,Beal Inc.,212 Felch Street,Ann Arbor,MI,48103,23611
1634621,Zion Construction Co (410 Grand Street),Zion Construction Co.,11 Maple Street,Cresskill,NJ,7626,23611
1613011,J-Berd Mechanical Contractors,"J-Berd Mechanical Contractors, Inc.",3308 Southway Drive,Fairmont,MN,56031,236116
